borehole_id,borehole_type,total_surviving_fio_load,Q_L_per_day,concentration_CFU_per_L
govbh_1,government,982593827046.7253,20000.0,49129691.352336265
govbh_10,government,1092939621139.4576,20000.0,54646981.05697288
govbh_13,government,128310121330.02057,20000.0,6415506.066501029
govbh_14,government,501109768177.5176,20000.0,25055488.40887588
govbh_15,government,4115575331550.621,20000.0,205778766.57753107
govbh_16,government,1265209960507.9858,20000.0,63260498.02539929
govbh_18,government,2891712189442.4067,20000.0,144585609.47212034
govbh_19,government,627982466409.3806,20000.0,31399123.32046903
govbh_2,government,806671674600.928,20000.0,40333583.7300464
govbh_20,government,897291070876.069,20000.0,44864553.543803446
govbh_21,government,2798524135506.426,20000.0,139926206.77532127
govbh_22,government,353458701864.10895,20000.0,17672935.09320545
govbh_24,government,3468584428438.5713,20000.0,173429221.42192855
govbh_26,government,94719932564.75417,20000.0,4735996.6282377085
govbh_27,government,1271643586665.8958,20000.0,63582179.33329479
govbh_28,government,856616229630.8064,20000.0,42830811.48154032
govbh_29,government,71188491221.9584,20000.0,3559424.5610979204
govbh_3,government,2700775981902.483,20000.0,135038799.09512416
govbh_30,government,59879452881.69677,20000.0,2993972.6440848387
govbh_31,government,121382676715.7204,20000.0,6069133.835786019
govbh_32,government,668648922584.0111,20000.0,33432446.129200555
govbh_33,government,1460095337358.3723,20000.0,73004766.86791861
govbh_34,government,1700252434500.647,20000.0,85012621.72503234
govbh_37,government,434720022155.13403,20000.0,21736001.1077567
govbh_38,government,121382676715.7204,20000.0,6069133.835786019
govbh_4,government,272824614946.13766,20000.0,13641230.747306883
govbh_40,government,668513404541.8237,20000.0,33425670.227091186
govbh_41,government,332007678657.3336,20000.0,16600383.932866681
govbh_42,government,11965494325.373392,20000.0,598274.7162686696
govbh_44,government,273990066980.38995,20000.0,13699503.349019498
govbh_45,government,127941161832.93047,20000.0,6397058.091646523
govbh_46,government,846989000852.1031,20000.0,42349450.042605154
govbh_47,government,116733426237.57033,20000.0,5836671.311878516
govbh_48,government,792136224397.5238,20000.0,39606811.21987619
govbh_5,government,4115575331550.621,20000.0,205778766.57753107
govbh_54,government,563652707235.1484,20000.0,28182635.361757424
govbh_55,government,140531825529.61197,20000.0,7026591.276480598
govbh_56,government,24846317577.06813,20000.0,1242315.8788534065
govbh_59,government,221463451018.1226,20000.0,11073172.55090613
govbh_6,government,627982466409.3806,20000.0,31399123.32046903
govbh_60,government,1952745381705.9897,20000.0,97637269.08529949
govbh_7,government,189082454187.13385,20000.0,9454122.709356692
govbh_8,government,189082454187.13385,20000.0,9454122.709356692
govbh_9,government,93397325879.83084,20000.0,4669866.293991542
privbh_1,private,1780225226491.9868,2000.0,890112613.2459934
privbh_10,private,1008386403548.5383,2000.0,504193201.77426916
privbh_100,private,152110458442.1161,2000.0,76055229.22105804
privbh_1000,private,50122493694.40432,2000.0,25061246.84720216
privbh_10000,private,113088548112.37956,2000.0,56544274.05618978
privbh_10001,private,12560091615.739143,2000.0,6280045.807869571
privbh_10002,private,112035482519.24255,2000.0,56017741.25962128
privbh_10004,private,163161949366.28757,2000.0,81580974.68314378
privbh_10005,private,50099273473.65118,2000.0,25049636.73682559
privbh_10006,private,100137705648.50208,2000.0,50068852.82425104
privbh_10007,private,12564427666.138771,2000.0,6282213.833069386
privbh_10008,private,101103028196.77618,2000.0,50551514.09838809
privbh_1001,private,25045470746.05072,2000.0,12522735.37302536
privbh_10010,private,37920062371.105515,2000.0,18960031.185552757
privbh_10011,private,12593214716.507166,2000.0,6296607.358253583
privbh_10012,private,12426131452.404324,2000.0,6213065.726202162
privbh_10013,private,24963844224.949657,2000.0,12481922.112474829
privbh_10014,private,175478274431.27863,2000.0,87739137.21563931
privbh_10015,private,111870337934.2392,2000.0,55935168.9671196
privbh_10016,private,99748084066.66946,2000.0,49874042.03333473
privbh_10017,private,138030262667.17538,2000.0,69015131.33358769
privbh_10018,private,199165498220.9919,2000.0,99582749.11049595
privbh_10019,private,199673671698.19876,2000.0,99836835.84909938
privbh_1002,private,2857809933627.76,2000.0,1428904966.81388
privbh_10022,private,226046686953.25317,2000.0,113023343.47662659
privbh_10023,private,75246962687.70358,2000.0,37623481.34385179
