borehole_id,borehole_type,total_surviving_fio_load,Q_L_per_day,concentration_CFU_per_L
govbh_000,government,124284628683.67526,20000.0,6214231.434183763
govbh_001,government,326934165484.5866,20000.0,16346708.274229331
govbh_002,government,253153491919.71643,20000.0,12657674.595985822
govbh_003,government,12539498272.865852,20000.0,626974.9136432926
govbh_004,government,299191920984.4395,20000.0,14959596.049221976
govbh_009,government,124697885933.18114,20000.0,6234894.296659057
govbh_014,government,299191920984.4395,20000.0,14959596.049221976
govbh_015,government,112224210112.46396,20000.0,5611210.505623198
govbh_017,government,99532608145.1364,20000.0,4976630.40725682
govbh_023,government,100102133774.56209,20000.0,5005106.688728104
govbh_029,government,12474540101.637703,20000.0,623727.0050818851
govbh_031,government,37559363839.98424,20000.0,1877968.191999212
govbh_033,government,512953850525.6729,20000.0,25647692.526283644
govbh_047,government,12588354693.529802,20000.0,629417.7346764901
govbh_055,government,12431585451.938309,20000.0,621579.2725969155
govbh_058,government,136839121567.62071,20000.0,6841956.0783810355
govbh_059,government,125020164407.98149,20000.0,6251008.220399074
privbh_000,private,101980914081.95955,2000.0,50990457.04097977
privbh_001,private,101948030184.95012,2000.0,50974015.09247506
privbh_003,private,126827601772.74683,2000.0,63413800.886373416
privbh_004,private,12707640857.328775,2000.0,6353820.428664388
privbh_006,private,102227675290.3199,2000.0,51113837.64515995
privbh_008,private,126933759495.75496,2000.0,63466879.74787748
privbh_009,private,571691443012.3373,2000.0,285845721.50616866
privbh_011,private,101395173682.02344,2000.0,50697586.84101172
privbh_012,private,114356827388.07855,2000.0,57178413.69403928
privbh_013,private,407731389351.7048,2000.0,203865694.6758524
privbh_015,private,38210481602.22761,2000.0,19105240.801113803
privbh_016,private,215808164555.97382,2000.0,107904082.27798691
privbh_018,private,127881578103.37079,2000.0,63940789.05168539
privbh_021,private,508860203651.38495,2000.0,254430101.82569247
privbh_023,private,25403956053.76577,2000.0,12701978.026882885
privbh_024,private,241636537881.59183,2000.0,120818268.94079591
privbh_026,private,356059454068.8203,2000.0,178029727.03441015
privbh_027,private,101845137325.50877,2000.0,50922568.66275439
privbh_028,private,38161887987.245834,2000.0,19080943.993622918
privbh_031,private,12737658077.860435,2000.0,6368829.038930218
privbh_032,private,203612315068.97925,2000.0,101806157.53448962
privbh_033,private,101509808702.801,2000.0,50754904.351400495
