fid,REGION,long,Borehole n,Temperatur,pH,Electrical,Total Diss,Turbidity-,Salinity-P,Color-PCU,Nitrate (N,Nitrite (N,Ammonia (N,Phosphate-,Fluoride (,Potassium-,Chloride (,Sulfate (S,Iron (Fe)-,Total Susp,Calcium-mg,magnesium-,Total Hard,Total Coli,E. coli-CF,lat,id
1,UNGUJA URBAN WEST,39.20721808083558,Kisima Cha Rais Mbeni,28.8,6.4,738.0,371.0,0.18,0.37,False,79.59999999999998,0.04,0.0,"2,86 (Diluted)",0.0,4.7,46.09,,0.0,False,90.4,9.0,263.0,35,0.0,-6.207,govbh_000
2,UNGUJA URBAN WEST,39.21976746274253,Mombasa Mwisho (Office),29.1,6.39,811.0,405.5,0.31,0.41,False,90.6,0.005,0.0,4.74,0.0,4.8,56.72,,0.05,False,95.2,7.78,270.0,1,0.0,-6.192,govbh_001
3,UNGUJA URBAN WEST,39.221120245281455,Mombasa Mwanzo,29.8,6.22,746.0,373.0,0.59,0.36,False,25.4,0.018,12.7,3.65,0.0,4.1,28.36,7.0,0.0,False,57.2,12.4,194.0,Numerous,1.0,-6.185,govbh_002
4,UNGUJA URBAN WEST,39.23492831477639,Tomondo Uzi,30.4,6.42,783.0,392.0,0.26,0.39,False,9.0,0.02,12.2,0.99,,5.2,46.08,70.0,0.0,False,100.4,10.45,294.0,4,0.0,-6.198,govbh_003
5,UNGUJA URBAN WEST,39.23855919990718,Kwarara,29.7,6.56,791.0,395.5,0.28,0.39,False,42.1,0.022,0.01,4.82,0.05,2.2,58.85,,0.0,False,85.59999999999998,17.02,284.0,12,2.0,-6.191,govbh_004
6,UNGUJA URBAN WEST,39.25848336100449,Kianga,29.5,6.48,533.0,266.5,0.34,0.27,False,5.8,0.006,0.0,2.33,0.04,2.0,21.98,,0.01,False,63.2,8.76,194.0,25,0.0,-6.14,govbh_005
7,UNGUJA URBAN WEST,39.24991338822579,Dole BH,29.2,6.78,530.0,265.0,0.35,0.27,False,12.6,0.026,0.0,3.73,0.0,1.3,19.14,,0.0,False,76.4,8.03,225.0,1,0.0,-6.097,govbh_006
8,UNGUJA URBAN WEST,39.24991338822579,Langoni,30.0,5.66,195.8,97.9,3.93,0.1,False,4.1,0.008,9.6,9.6,,3.3,20.56,,0.72,False,11.6,8.51,770.0,0,0.0,-6.097,govbh_007
9,UNGUJA URBAN WEST,39.22000219431971,Mfenesini Tank,30.3,5.64,543.0,271.5,0.9,0.27,False,3.91,0.031,12.9,22,,1.6,14.88,0.0,0.0,False,46.8,17.26,188.0,7,0.0,-6.043,govbh_008
10,UNGUJA URBAN WEST,39.22273030905357,Kwanyanya,29.4,6.4,622.0,311.0,0.18,0.31,False,4.3,0.009,4.7,1.68,,3.7,15.59,,0.0,False,95.2,5.83,262.0,7,0.0,-6.079,govbh_009
11,UNGUJA URBAN WEST,39.21315900110801,Migombani Jeshini (Rais),30.1,6.37,1339.0,670.0,0.59,0.67,False,35.8,0.022,0.0,2.42,0.33,5.3,120.53,,0.0,False,47.2,23.59,215.0,25,0.0,-6.19,govbh_010
12,UNGUJA URBAN WEST,39.21162215589191,Migombani Jeshini (Turkey),29.6,6.21,829.0,415.0,1.04,0.41,False,39.0,0.018,0.0,4.8,0.25,3.6,329.68,,0.03,False,51.2,9.48,167.0,0,0.0,-6.19,govbh_011
13,UNGUJA URBAN WEST,39.212615452810745,Kaburi kikombe (Rais),31.9,6.18,1114.0,557.0,0.57,0.56,False,59.9,0.009,0.0,8.97,0.25,8.0,184.34,,0.0,False,73.2,2.67,194.0,50,10.0,-6.187,govbh_012
14,UNGUJA URBAN WEST,39.20468423767418,Mnara wa Mbao,30.7,6.17,1142.0,571.0,1.7,0.57,False,47.6,0.108,0.0,4.08,0.29,4.9,236.09,,0.17,False,72.4,8.75,217.0,30,0.0,-6.181,govbh_013
15,UNGUJA URBAN WEST,39.23855919990718,Kizimbani Nusery,29.5,6.42,565.0,282.0,3.93,0.28,False,6.4,0.0,0.0,,0.0,7.8,13.47,,0.36,False,,,130.0,3,0.0,-6.191,govbh_014
16,UNGUJA URBAN WEST,39.2340438415149,Selem 1,29.6,7.72,421.0,210.0,0.7,0.21,False,90.6,0.005,0.0,4.74,0.0,2.7,14.9,,0.08,False,,,101.0,Numerous,0.0,-6.034,govbh_015
17,UNGUJA URBAN WEST,39.23403869090556,Selem 2,30.5,6.87,552.0,276.0,0.3,0.28,False,25.4,0.018,12.7,3.65,0.0,2.0,13.47,,0.0,False,,,138.0,Numerous,0.0,-6.044,govbh_016
18,UNGUJA URBAN WEST,39.23089005013205,Welezo Tank,29.3,6.93,504.0,252.0,0.73,0.25,False,9.0,0.02,12.2,0.99,0.0,2.8,17.7,,0.0,False,,,117.0,0,0.0,-6.155,govbh_017
19,UNGUJA URBAN WEST,39.25848336100449,Kwa Mzee Juma,30.0,6.63,554.0,281.0,0.72,0.28,False,42.1,0.022,0.01,4.82,0.0,2.2,19.14,,0.0,False,,,126.0,26,0.0,-6.14,govbh_018
20,UNGUJA URBAN WEST,39.21297246843066,Mbweni (Baraza lawawakilishi),31.1,6.6,978.0,483.0,0.27,0.49,False,65.6,0.003,0.0,,0.2,5.6,126.2,,0.0,False,,,136.0,0,0.0,-6.221,govbh_019
21,UNGUJA URBAN WEST,39.21526631235909,K/Samaki Masumbani,30.1,6.77,753.0,377.0,0.55,0.38,False,58.0,0.063,0.0,,0.8,14.0,48.2,,0.0,False,,,126.0,3,0.0,-6.215,govbh_020
22,UNGUJA URBAN WEST,39.25057500907302,Chunga 09,29.9,6.69,648.0,324.0,0.46,0.32,False,0.7,0.076,0.0,,0.2,2.3,23.4,,0.0,False,,,146.0,11,0.0,-6.159,govbh_021
23,UNGUJA URBAN WEST,39.2413802797825,Kinuni,29.2,6.56,571.0,286.0,2.78,0.29,False,16.2,0.027,0.0,,0.17,2.3,20.56,,0.0,False,,,129.0,37,0.0,-6.163,govbh_022
24,UNGUJA URBAN WEST,39.2521537362482,Dole Tank (Old),29.7,6.42,515.0,258.0,0.56,0.26,,2.8,0.0,0.0,,0.21,2.7,14.18,,0.0,False,,,127.0,16,0.0,-6.108,govbh_023
25,UNGUJA NORTH REGION,39.303427241983194,Chaani Kongwe,29.3,6.25,727.0,363.5,0.67,0.32,False,14.3,0.0,0.0,0.74,0.27,0.8,38.28,,0.04,False,57.2,18.3,326.0,6,0.0,-5.924,govbh_024
26,UNGUJA NORTH REGION,39.338682293528656,Kandwi,29.5,6.43,595.0,297.5,0.67,0.29,False,23.3,0.005,0.0,0.64,0.93,2.5,24.81,,0.0,False,58.0,61.2,298.0,26,0.0,-5.942,govbh_025
27,UNGUJA NORTH REGION,39.29900849714256,Chaani Tassaf,29.1,6.3,959.0,479.5,0.9,0.48,False,70.1,0.003,0.0,0.18,0.15,1.3,137.5,,0.05,False,78.79999999999998,1.21,202.0,,,-5.939,govbh_026
28,UNGUJA NORTH REGION,39.29989387409769,Kilindi,30.1,6.9,652.0,326.0,1.2,0.32,False,33.6,1.4,0.0,0,0.12,1.8,78.69,,0.0,False,46.8,31.6,247.0,30,15.0,-5.764,govbh_027
29,UNGUJA NORTH REGION,39.251307524992434,Donge kipange,27.8,6.38,675.0,334.0,0.31,0.34,False,2.8,0.06,0.0,5.74,0.0,1.6,23.397,,0.03,False,62.0,1.22,160.0,32,0.0,-5.905,govbh_028
30,UNGUJA NORTH REGION,39.251235283513054,Kipange - Tumbatu,28.6,6.62,713.0,357.0,0.21,0.36,False,12.5,0.034,0.0,1.7,0.21,1.8,48.921,,0.05,False,53.2,7.3,163.0,37,0.0,-5.905,govbh_029
31,UNGUJA NORTH REGION,39.30479636744616,Kiashange 1,28.8,6.51,563.0,281.0,2.1,0.28,False,3.1,0.029,0.0,9.62,0.0,1.5,34.032,,0.0,False,42.0,4.86,125.0,54,0.0,-5.883,govbh_030
32,UNGUJA NORTH REGION,39.30395776092973,Tazari kongwe,31.0,6.38,661.0,331.0,0.76,0.33,False,55.5,0.042,0.0,5.07,0.0,2.9,19.143,,0.03,False,51.2,3.4,142.0,13,0.0,-5.785,govbh_031
33,UNGUJA NORTH REGION,39.30660665559544,Tazari mazingira,30.7,6.82,677.0,339.0,7.07,0.34,False,15.7,0.079,0.0,4.97,0.0,3.6,53.175,,0.1,False,50.4,4.38,144.0,50,40.0,-5.79,govbh_032
