fid,REGION,long,Borehole n,Temperatur,pH,Electrical,Total Diss,Turbidity-,Salinity-P,Color-PCU,Nitrate (N,Nitrite (N,Ammonia (N,Phosphate-,Fluoride (,Potassium-,Chloride (,Sulfate (S,Iron (Fe)-,Total Susp,Calcium-mg,magnesium-,Total Hard,Total Coli,E. coli-CF,lat
1,UNGUJA URBAN WEST,39.207218080835581,Kisima Cha Rais Mbeni,28.800000000000001,6.400000000000000,738.000000000000000,371.000000000000000,0.180000000000000,0.370000000000000,false,79.599999999999994,0.040000000000000,0.000000000000000,"2,86 (Diluted)",0.000000000000000,4.700000000000000,46.090000000000003,,0.000000000000000,false,90.400000000000006,9.000000000000000,263,35,0,-6.207
2,UNGUJA URBAN WEST,39.219767462742531,Mombasa Mwisho (Office),29.100000000000001,6.390000000000000,811.000000000000000,405.500000000000000,0.310000000000000,0.410000000000000,false,90.599999999999994,0.005000000000000,0.000000000000000,4.74,0.000000000000000,4.800000000000000,56.719999999999999,,0.050000000000000,false,95.200000000000003,7.780000000000000,270,1,0,-6.192
3,UNGUJA URBAN WEST,39.221120245281462,Mombasa Mwanzo,29.800000000000001,6.220000000000000,746.000000000000000,373.000000000000000,0.590000000000000,0.360000000000000,false,25.399999999999999,0.018000000000000,12.699999999999999,3.65,0.000000000000000,4.100000000000000,28.359999999999999,7,0.000000000000000,false,57.200000000000003,12.400000000000000,194,Numerous,1,-6.185
4,UNGUJA URBAN WEST,39.234928314776390,Tomondo Uzi,30.399999999999999,6.420000000000000,783.000000000000000,392.000000000000000,0.260000000000000,0.390000000000000,false,9.000000000000000,0.020000000000000,12.199999999999999,0.99,,5.200000000000000,46.079999999999998,70,0.000000000000000,false,100.400000000000006,10.449999999999999,294,4,0,-6.198
5,UNGUJA URBAN WEST,39.238559199907179,Kwarara,29.699999999999999,6.560000000000000,791.000000000000000,395.500000000000000,0.280000000000000,0.390000000000000,false,42.100000000000001,0.022000000000000,0.010000000000000,4.82,0.050000000000000,2.200000000000000,58.850000000000001,,0.000000000000000,false,85.599999999999994,17.020000000000000,284,12,2,-6.191
6,UNGUJA URBAN WEST,39.258483361004487,Kianga,29.500000000000000,6.480000000000000,533.000000000000000,266.500000000000000,0.340000000000000,0.270000000000000,false,5.800000000000000,0.006000000000000,0.000000000000000,2.33,0.040000000000000,2.000000000000000,21.980000000000000,,0.010000000000000,false,63.200000000000003,8.760000000000000,194,25,0,-6.140
7,UNGUJA URBAN WEST,39.249913388225792,Dole BH,29.199999999999999,6.780000000000000,530.000000000000000,265.000000000000000,0.350000000000000,0.270000000000000,false,12.600000000000000,0.026000000000000,0.000000000000000,3.73,0.000000000000000,1.300000000000000,19.140000000000001,,0.000000000000000,false,76.400000000000006,8.029999999999999,225,1,0,-6.097
8,UNGUJA URBAN WEST,39.249913388225792,Langoni,30.000000000000000,5.660000000000000,195.800000000000011,97.900000000000006,3.930000000000000,0.100000000000000,false,4.100000000000000,0.008000000000000,9.600000000000000,9.6,,3.300000000000000,20.559999999999999,,0.720000000000000,false,11.600000000000000,8.510000000000000,770,0,0,-6.097
9,UNGUJA URBAN WEST,39.220002194319711,Mfenesini Tank,30.300000000000001,5.640000000000000,543.000000000000000,271.500000000000000,0.900000000000000,0.270000000000000,false,3.910000000000000,0.031000000000000,12.900000000000000,22,,1.600000000000000,14.880000000000001,0,0.000000000000000,false,46.799999999999997,17.260000000000002,188,7,0,-6.043
10,UNGUJA URBAN WEST,39.222730309053567,Kwanyanya,29.399999999999999,6.400000000000000,622.000000000000000,311.000000000000000,0.180000000000000,0.310000000000000,false,4.300000000000000,0.009000000000000,4.700000000000000,1.68,,3.700000000000000,15.590000000000000,,0.000000000000000,false,95.200000000000003,5.830000000000000,262,7,0,-6.079
