ks_per_m,EFIO_override,eff_cat2,eff_cat3,spearman_rho,kendall_tau,rmse_log,n_detections
0.003,10000000.0,0.05,0.2,-0.38439744238659523,-0.28939841797196547,2.2497084441846265,36
0.003,10000000.0,0.05,0.3,-0.38439744238659523,-0.28939841797196547,2.2497084441846265,36
0.003,10000000.0,0.05,0.5,-0.38439744238659523,-0.28939841797196547,2.2497084441846265,36
0.003,10000000.0,0.1,0.2,-0.38439744238659523,-0.28939841797196547,2.2497084441846265,36
0.003,10000000.0,0.1,0.3,-0.38439744238659523,-0.28939841797196547,2.2497084441846265,36
0.003,10000000.0,0.1,0.5,-0.38439744238659523,-0.28939841797196547,2.2497084441846265,36
0.003,10000000.0,0.2,0.2,-0.38439744238659523,-0.28939841797196547,2.2497084441846265,36
0.003,10000000.0,0.2,0.3,-0.38439744238659523,-0.28939841797196547,2.2497084441846265,36
0.003,10000000.0,0.2,0.5,-0.38439744238659523,-0.28939841797196547,2.2497084441846265,36
0.003,50000000.0,0.05,0.2,-0.38439744238659523,-0.28939841797196547,2.9154672311742122,36
0.003,50000000.0,0.05,0.3,-0.38439744238659523,-0.28939841797196547,2.9154672311742122,36
0.003,50000000.0,0.05,0.5,-0.38439744238659523,-0.28939841797196547,2.9154672311742122,36
0.003,50000000.0,0.1,0.2,-0.38439744238659523,-0.28939841797196547,2.9154672311742122,36
0.003,50000000.0,0.1,0.3,-0.38439744238659523,-0.28939841797196547,2.9154672311742122,36
0.003,50000000.0,0.1,0.5,-0.38439744238659523,-0.28939841797196547,2.9154672311742122,36
0.003,50000000.0,0.2,0.2,-0.38439744238659523,-0.28939841797196547,2.9154672311742122,36
0.003,50000000.0,0.2,0.3,-0.38439744238659523,-0.28939841797196547,2.9154672311742122,36
0.003,50000000.0,0.2,0.5,-0.38439744238659523,-0.28939841797196547,2.9154672311742122,36
0.003,100000000.0,0.05,0.2,-0.38439744238659523,-0.28939841797196547,3.2065811360924013,36
0.003,100000000.0,0.05,0.3,-0.38439744238659523,-0.28939841797196547,3.2065811360924013,36
0.003,100000000.0,0.05,0.5,-0.38439744238659523,-0.28939841797196547,3.2065811360924013,36
0.003,100000000.0,0.1,0.2,-0.38439744238659523,-0.28939841797196547,3.2065811360924013,36
0.003,100000000.0,0.1,0.3,-0.38439744238659523,-0.28939841797196547,3.2065811360924013,36
0.003,100000000.0,0.1,0.5,-0.38439744238659523,-0.28939841797196547,3.2065811360924013,36
0.003,100000000.0,0.2,0.2,-0.38439744238659523,-0.28939841797196547,3.2065811360924013,36
0.003,100000000.0,0.2,0.3,-0.38439744238659523,-0.28939841797196547,3.2065811360924013,36
0.003,100000000.0,0.2,0.5,-0.38439744238659523,-0.28939841797196547,3.2065811360924013,36
0.003,500000000.0,0.05,0.2,-0.38439744238659523,-0.28939841797196547,3.888378757771126,36
0.003,500000000.0,0.05,0.3,-0.38439744238659523,-0.28939841797196547,3.888378757771126,36
0.003,500000000.0,0.05,0.5,-0.38439744238659523,-0.28939841797196547,3.888378757771126,36
0.003,500000000.0,0.1,0.2,-0.38439744238659523,-0.28939841797196547,3.888378757771126,36
0.003,500000000.0,0.1,0.3,-0.38439744238659523,-0.28939841797196547,3.888378757771126,36
0.003,500000000.0,0.1,0.5,-0.38439744238659523,-0.28939841797196547,3.888378757771126,36
0.003,500000000.0,0.2,0.2,-0.38439744238659523,-0.28939841797196547,3.888378757771126,36
0.003,500000000.0,0.2,0.3,-0.38439744238659523,-0.28939841797196547,3.888378757771126,36
0.003,500000000.0,0.2,0.5,-0.38439744238659523,-0.28939841797196547,3.888378757771126,36
0.01,10000000.0,0.05,0.2,-0.3653289585678534,-0.2604585761747689,2.0523406270415223,36
0.01,10000000.0,0.05,0.3,-0.3653289585678534,-0.2604585761747689,2.0523406270415223,36
0.01,10000000.0,0.05,0.5,-0.3653289585678534,-0.2604585761747689,2.0523406270415223,36
0.01,10000000.0,0.1,0.2,-0.3653289585678534,-0.2604585761747689,2.0523406270415223,36
0.01,10000000.0,0.1,0.3,-0.3653289585678534,-0.2604585761747689,2.0523406270415223,36
0.01,10000000.0,0.1,0.5,-0.3653289585678534,-0.2604585761747689,2.0523406270415223,36
0.01,10000000.0,0.2,0.2,-0.3653289585678534,-0.2604585761747689,2.0523406270415223,36
0.01,10000000.0,0.2,0.3,-0.3653289585678534,-0.2604585761747689,2.0523406270415223,36
0.01,10000000.0,0.2,0.5,-0.3653289585678534,-0.2604585761747689,2.0523406270415223,36
0.01,50000000.0,0.05,0.2,-0.3653289585678534,-0.2604585761747689,2.711741518196274,36
0.01,50000000.0,0.05,0.3,-0.3653289585678534,-0.2604585761747689,2.711741518196274,36
0.01,50000000.0,0.05,0.5,-0.3653289585678534,-0.2604585761747689,2.711741518196274,36
0.01,50000000.0,0.1,0.2,-0.3653289585678534,-0.2604585761747689,2.711741518196274,36
0.01,50000000.0,0.1,0.3,-0.3653289585678534,-0.2604585761747689,2.711741518196274,36
0.01,50000000.0,0.1,0.5,-0.3653289585678534,-0.2604585761747689,2.711741518196274,36
0.01,50000000.0,0.2,0.2,-0.3653289585678534,-0.2604585761747689,2.711741518196274,36
0.01,50000000.0,0.2,0.3,-0.3653289585678534,-0.2604585761747689,2.711741518196274,36
0.01,50000000.0,0.2,0.5,-0.3653289585678534,-0.2604585761747689,2.711741518196274,36
0.01,100000000.0,0.05,0.2,-0.3653289585678534,-0.2604585761747689,3.001294292791497,36
0.01,100000000.0,0.05,0.3,-0.3653289585678534,-0.2604585761747689,3.001294292791497,36
0.01,100000000.0,0.05,0.5,-0.3653289585678534,-0.2604585761747689,3.001294292791497,36
0.01,100000000.0,0.1,0.2,-0.3653289585678534,-0.2604585761747689,3.001294292791497,36
0.01,100000000.0,0.1,0.3,-0.3653289585678534,-0.2604585761747689,3.001294292791497,36
0.01,100000000.0,0.1,0.5,-0.3653289585678534,-0.2604585761747689,3.001294292791497,36
0.01,100000000.0,0.2,0.2,-0.3653289585678534,-0.2604585761747689,3.001294292791497,36
0.01,100000000.0,0.2,0.3,-0.3653289585678534,-0.2604585761747689,3.001294292791497,36
0.01,100000000.0,0.2,0.5,-0.3653289585678534,-0.2604585761747689,3.001294292791497,36
