ks_per_m,efio_scale,rmse_log,n_matched_boreholes
0.0003,0.7,6.164981809270361,42
0.0003,0.85,6.2489045122394895,42
0.0003,1.0,6.319160445864269,42
0.0003,1.15,6.379584419854329,42
0.0003,1.3,6.43259393950839,42
0.0005,0.7,6.158738326694811,42
0.0005,0.85,6.242660185906752,42
0.0005,1.0,6.3129154386943735,42
0.0005,1.15,6.373338844888113,42
0.0005,1.3,6.426347879426694,42
0.001,0.7,6.143153780993916,42
0.001,0.85,6.227073496911859,42
0.001,1.0,6.297327020119281,42
0.001,1.15,6.3577489838035,42
0.001,1.3,6.410756785814926,42
0.0015,0.7,6.127603921598062,42
0.0015,0.85,6.211521445159146,42
0.0015,1.0,6.281773199008765,42
0.0015,1.15,6.342193686874606,42
0.0015,1.3,6.395200227798221,42
0.002,0.7,6.11208896087494,42
0.002,0.85,6.196004242216749,42
0.002,1.0,6.266254186286637,42
0.002,1.15,6.32667316448841,42
0.002,1.3,6.379678415305237,42
0.003,0.7,6.081164576596703,42
0.003,0.85,6.165075220664058,42
0.003,1.0,6.235321421291243,42
0.003,1.15,6.295737276447384,42
0.003,1.3,6.348739858132392,42
