borehole_id,borehole_type,Q_L_per_day,total_surviving_fio_load,concentration_CFU_per_100mL,lat,long,lab_total_coliform_CFU_per_100mL,lab_e_coli_CFU_per_100mL
govbh_000,government,20000.0,1280190568742.6802,6400952.843713401,-6.207,39.20721808083558,35,0.0
govbh_001,government,20000.0,1808731759212.1016,9043658.796060508,-6.192,39.21976746274253,1,0.0
govbh_002,government,20000.0,3522044316893.0737,17610221.58446537,-6.185,39.22112024528146,Numerous,1.0
govbh_003,government,20000.0,599124366441.101,2995621.832205505,-6.198,39.23492831477639,4,0.0
govbh_004,government,20000.0,4899661503398.586,24498307.51699293,-6.191,39.23855919990718,12,2.0
govbh_005,government,20000.0,1048009587237.4984,5240047.936187493,-6.14,39.25848336100449,25,0.0
govbh_006,government,20000.0,161875148385.93555,809375.7419296778,-6.097,39.24991338822579,1,0.0
govbh_007,government,20000.0,161875148385.93555,809375.7419296778,-6.097,39.24991338822579,0,0.0
govbh_008,government,20000.0,78032888934.14316,390164.4446707158,-6.043,39.22000219431971,7,0.0
govbh_009,government,20000.0,1721016479427.352,8605082.397136759,-6.079,39.22273030905357,7,0.0
govbh_012,government,20000.0,176686813909.80292,883434.0695490146,-6.187,39.212615452810745,50,10.0
govbh_013,government,20000.0,622373483246.4463,3111867.416232231,-6.181,39.20468423767418,30,0.0
govbh_014,government,20000.0,4899661503398.586,24498307.51699293,-6.191,39.23855919990718,3,0.0
govbh_015,government,20000.0,1682731749446.7163,8413658.74723358,-6.034,39.234043841514904,Numerous,0.0
govbh_017,government,20000.0,2933278361020.004,14666391.80510002,-6.155,39.230890050132054,0,0.0
govbh_018,government,20000.0,1048009587237.4984,5240047.936187493,-6.14,39.25848336100449,26,0.0
govbh_019,government,20000.0,1164458554196.9949,5822292.770984975,-6.221,39.212972468430664,0,0.0
govbh_020,government,20000.0,2700968452399.2163,13504842.26199608,-6.215,39.21526631235909,3,0.0
govbh_021,government,20000.0,402593895789.97107,2012969.4789498553,-6.159,39.25057500907302,11,0.0
govbh_023,government,20000.0,3689514547618.028,18447572.73809014,-6.108,39.25215373624819,16,0.0
govbh_025,government,20000.0,81395144913.6289,406975.72456814453,-5.942,39.338682293528656,26,0.0
govbh_026,government,20000.0,1164421846021.855,5822109.230109275,-5.939,39.29900849714256,,
govbh_027,government,20000.0,1023985569722.1896,5119927.848610948,-5.764,39.29989387409769,30,15.0
govbh_028,government,20000.0,205824751804.7544,1029123.759023772,-5.905,39.251307524992434,32,0.0
govbh_029,government,20000.0,176395284508.5464,881976.422542732,-5.905,39.25123528351306,37,0.0
govbh_030,government,20000.0,161056268114.32996,805281.3405716497,-5.883,39.30479636744616,54,0.0
govbh_031,government,20000.0,1193714940186.0703,5968574.700930351,-5.785,39.303957760929734,13,0.0
govbh_032,government,20000.0,1332842929968.011,6664214.649840055,-5.79,39.30660665559544,50,40.0
govbh_033,government,20000.0,1738505410493.8943,8692527.052469471,-5.903,39.29449942766601,23,0.0
govbh_036,government,20000.0,456645651868.6255,2283228.2593431277,-5.909,39.251101565850064,5,0.0
govbh_037,government,20000.0,161056268114.32996,805281.3405716497,-5.883,39.30479636744616,58,4.0
govbh_039,government,20000.0,770229301363.3176,3851146.506816588,-5.961,39.252624892111555,13,0.0
govbh_040,government,20000.0,377862790756.78613,1889313.9537839307,-5.986,39.25832897677713,35,0.0
govbh_041,government,20000.0,35132679474.66921,175663.39737334606,-6.014,39.2519988742079,47,0.0
govbh_043,government,20000.0,392985882762.98615,1964929.4138149307,-5.961,39.253130857405445,0,0.0
govbh_044,government,20000.0,175989359982.82422,879946.799914121,-5.96,39.303446997262704,24,0.0
govbh_045,government,20000.0,884094583330.6959,4420472.916653479,-5.979,39.19513138923642,,
govbh_046,government,20000.0,147643469527.60797,738217.3476380398,-5.972,39.19412582343113,25,0.0
govbh_047,government,20000.0,1016002037448.1216,5080010.187240608,-5.962,39.19101449683485,24,0.0
govbh_053,government,20000.0,476749035567.39325,2383745.1778369662,-6.384,39.47109608587235,2,0.0
govbh_054,government,20000.0,202239540905.2005,1011197.7045260024,-6.225,39.324703517177625,53,0.0
govbh_055,government,20000.0,78640459418.88525,393202.29709442623,-6.095,39.31237873808632,24,0.0
govbh_058,government,20000.0,451672479736.9403,2258362.398684702,-6.131,39.31628620198783,41,0.0
govbh_059,government,20000.0,1953777656294.7544,9768888.281473774,-6.024,39.32654260572543,16,3.0
