borehole_id,borehole_type,Q_L_per_day,total_surviving_fio_load,concentration_CFU_per_100mL,lat,long
privbh_000,private,1000.0,5273143054109.536,527314305.41095364,-6.1690319,39.213935
privbh_001,private,2000.0,5097517312946.625,254875865.64733124,-6.170185,39.2155967
privbh_002,private,3000.0,2101567086501.7761,70052236.21672587,-6.1705486,39.2179417
privbh_003,private,2000.0,3942603208854.305,197130160.44271526,-6.1692786,39.2171824
privbh_004,private,1428.5714285714284,2078524131650.7917,145496689.21555543,-6.1659315,39.2128089
privbh_005,private,2000.0,439081354823.63806,21954067.741181903,-6.1640843,39.2135076
privbh_006,private,857.1428571428571,3376024332672.182,393869505.4784213,-6.1655481,39.2117078
privbh_007,private,2857.142857142857,1896139219228.2214,66364872.67298776,-6.1644432,39.2126976
privbh_008,private,2857.142857142857,1490667954528.1833,52173378.40848642,-6.1712864,39.2162646
privbh_009,private,2000.0,3258250237573.011,162912511.87865058,-6.1723548,39.2169223
privbh_010,private,2000.0,3338808968829.4062,166940448.44147032,-6.1645082,39.216527
privbh_011,private,2000.0,2069469342238.246,103473467.11191231,-6.165344,39.2172988
privbh_012,private,1000.0,4111587401298.9385,411158740.12989384,-6.1684726,39.2161209
privbh_013,private,3000.0,3680468635981.117,122682287.86603725,-6.1671335,39.2151714
privbh_014,private,1000.0,426084834434.19476,42608483.44341947,-6.1635342,39.2151408
privbh_015,private,2000.0,3852908552413.4097,192645427.6206705,-6.1664247,39.2165883
privbh_016,private,2000.0,2807861424863.019,140393071.24315095,-6.168098,39.2138867
privbh_017,private,10000.0,1487996417652.4504,14879964.176524505,-6.1661358,39.2154147
privbh_018,private,2571.428571428571,3129863701623.689,121716921.72981015,-6.1668263,39.2149695
privbh_019,private,5000.0,2076014770145.1152,41520295.402902305,-6.165273,39.2156285
privbh_020,private,1428.5714285714284,2524303268166.021,176701228.7716215,-6.1667609,39.2144079
privbh_021,private,5000.0,4080190657914.2363,81603813.15828472,-6.1671511,39.2147982
privbh_022,private,2000.0,1471019944415.9287,73550997.22079644,-6.1637759,39.2160861
privbh_023,private,5000.0,2951240173280.4795,59024803.46560959,-6.1678369,39.2169244
privbh_024,private,5000.0,2817985699261.0063,56359713.98522012,-6.168109,39.2165451
privbh_025,private,5000.0,1142008496074.1353,22840169.921482705,-6.1633856,39.2110443
privbh_026,private,571.4285714285714,3694363589096.5796,646513628.0919014,-6.1640311,39.2090373
privbh_027,private,2000.0,1185521657358.3157,59276082.86791579,-6.1632865,39.2098787
