borehole_id,borehole_type,Q_L_per_day,total_surviving_fio_load,concentration_CFU_per_100mL,lat,long
privbh_10004,private,2000.0,161193827768.37308,8059691.388418654,-6.1361924,39.2912036
privbh_10054,private,3000.0,277542425717.8501,9251414.190595005,-5.9079902,39.2969636
privbh_10168,private,2000.0,41315808509.798935,2065790.4254899467,-6.2393638,39.2323775
privbh_10811,private,1142.857142857143,279839781110.79407,24485980.84719448,-6.212399,39.2170002
privbh_10843,private,2000.0,645377446415.4221,32268872.320771106,-6.2113709,39.2113721
privbh_10938,private,1285.7142857142856,79637339830.1147,6194015.320120033,-6.2131461,39.2060924
privbh_11101,private,2000.0,613031829741.3206,30651591.48706603,-6.0187059,39.2396712
privbh_11355,private,2000.0,39322251448.39724,1966112.572419862,-6.2054267,39.3039559
privbh_11675,private,2000.0,171474459148.72552,8573722.957436277,-6.1971231,39.2973166
privbh_12176,private,2000.0,95427707504.41978,4771385.37522099,-6.1875648,39.3165348
privbh_12178,private,2000.0,290960773361.35016,14548038.66806751,-6.1907178,39.316078
privbh_12257,private,2000.0,362035434864.06134,18101771.743203063,-6.2008875,39.2981155
privbh_12390,private,3000.0,96934069267.9556,3231135.642265186,-6.194503,39.3218361
privbh_12492,private,285.7142857142857,137772761344.78726,48220466.47067554,-6.1905626,39.3169476
privbh_12559,private,5000.0,79233471686.68933,1584669.4337337867,-5.985025,39.2861233
privbh_1298,private,2000.0,197381439413.96906,9869071.970698452,-6.1850804,39.2150887
privbh_1330,private,10000.0,925964543033.2592,9259645.430332592,-6.171071,39.2578062
privbh_13609,private,2000.0,79142590328.49265,3957129.516424632,-6.2809851,39.3699851
privbh_13700,private,2000.0,171784290431.34958,8589214.521567479,-5.9640626,39.1998019
privbh_13951,private,2000.0,100354214856.3808,5017710.742819041,-6.3814053,39.4699971
privbh_14012,private,2000.0,442780061675.3241,22139003.083766203,-6.1669041,39.4366434
privbh_14138,private,2000.0,42442723197.64945,2122136.1598824724,-6.1617299,39.3891863
privbh_14417,private,2000.0,42089140529.115265,2104457.0264557633,-6.1804128,39.3229345
privbh_14460,private,2000.0,612875930882.3903,30643796.544119515,-6.13548,39.2939418
privbh_14801,private,3000.0,132814040890.54472,4427134.696351491,-5.8685131,39.2804285
privbh_14815,private,2000.0,136455966831.10844,6822798.341555421,-6.4124685,39.5560034
privbh_14841,private,2000.0,598906626565.6171,29945331.328280855,-5.8654507,39.2780221
privbh_15003,private,2000.0,93411093248.21756,4670554.662410878,-6.1633826,39.3137508
privbh_15105,private,2000.0,131898625123.4096,6594931.2561704805,-6.1652853,39.3482061
privbh_15110,private,285.7142857142857,96610462227.25356,33813661.77953875,-6.1596988,39.352259
privbh_15167,private,5000.0,217125911768.8568,4342518.235377136,-5.8678988,39.2839147
privbh_15180,private,5000.0,381178043312.9802,7623560.866259605,-6.4153299,39.5447955
privbh_15548,private,2000.0,39399159764.00812,1969957.988200406,-6.1055858,39.3413898
privbh_15753,private,2000.0,95234609033.64082,4761730.4516820405,-6.169374,39.3377055
privbh_16068,private,2000.0,276301398889.07196,13815069.944453595,-6.1289308,39.3284755
privbh_16096,private,1428.5714285714284,124632944846.33276,8724306.139243294,-6.1001137,39.3064352
privbh_1613,private,2000.0,471722399458.7842,23586119.97293921,-6.1411497,39.250064
privbh_16297,private,2000.0,282497199535.91614,14124859.976795807,-6.0898696,39.3095389
privbh_16450,private,2000.0,81368574835.61908,4068428.741780954,-5.9717309,39.3680022
privbh_1695,private,5000.0,470101948490.8709,9402038.96981742,-6.1295865,39.2241543
privbh_17154,private,2000.0,410188350746.43774,20509417.537321888,-6.233912,39.2145996
privbh_17428,private,3000.0,40038219690.579414,1334607.323019314,-6.2304783,39.2200833
privbh_17520,private,10000.0,755869215341.1818,7558692.153411818,-6.4297866,39.548442
privbh_17566,private,285.7142857142857,458138405053.9924,160348441.76889735,-6.2364974,39.2180283
privbh_17657,private,2000.0,386823303418.51025,19341165.170925513,-6.2031587,39.4789684
privbh_17833,private,2000.0,544878771561.7876,27243938.57808938,-5.914708,39.35498
privbh_17890,private,5000.0,92642635164.64787,1852852.7032929573,-6.3054793,39.4300638
privbh_18707,private,3000.0,437901641823.9758,14596721.394132528,-6.1469299,39.2717951
privbh_2023,private,2000.0,382778119283.37354,19138905.964168675,-6.0950634,39.2238959
privbh_2079,private,2857.142857142857,320758127064.4398,11226534.447255395,-6.0930116,39.2263612
privbh_2152,private,2000.0,661417917848.1929,33070895.892409645,-6.1120036,39.2240235
privbh_218,private,2000.0,277632894177.04364,13881644.70885218,-6.1612029,39.2162097
privbh_2234,private,428.57142857142856,289174188645.36536,67473977.35058525,-6.0986534,39.2522271
privbh_2558,private,1000.0,911503497165.3702,91150349.71653704,-6.0908821,39.2325786
privbh_2675,private,3000.0,162754315666.24506,5425143.855541502,-6.0727342,39.242623
privbh_2716,private,3000.0,319935380908.6505,10664512.696955018,-6.0708927,39.2368018
privbh_3114,private,2000.0,162144941290.29648,8107247.064514823,-6.0665589,39.229665
privbh_3203,private,20000.0,99786580982.22575,498932.9049111288,-6.1660833,39.2267272
privbh_3676,private,2000.0,93917526561.82024,4695876.328091012,-6.0993207,39.2666153
privbh_3792,private,428.57142857142856,282694745468.43274,65962107.27596764,-6.0390723,39.2302365
privbh_3866,private,2000.0,2939324298441.651,146966214.92208254,-6.1907939,39.2314976
privbh_3910,private,5000.0,398319557581.97906,7966391.151639581,-6.1893875,39.2310971
privbh_3916,private,2000.0,1106096345903.265,55304817.29516325,-6.1901956,39.2316355
privbh_4054,private,2000.0,679783871568.426,33989193.5784213,-6.1863014,39.2268974
privbh_4290,private,2000.0,234747443062.9963,11737372.153149815,-6.0538948,39.2623299
privbh_4372,private,2000.0,38887718317.62201,1944385.9158811003,-6.3055804,39.2960034
privbh_4743,private,3000.0,1106074442439.0474,36869148.08130158,-6.1944021,39.2546634
privbh_5174,private,142.85714285714286,175851334065.99286,123095933.846195,-6.1942819,39.2508474
privbh_5176,private,2000.0,410096242342.477,20504812.11712385,-6.1936954,39.2504789
privbh_525,private,571.4285714285714,155145357811.03513,27150437.616931148,-6.1767088,39.203963
privbh_5547,private,2000.0,283895016164.4644,14194750.80822322,-6.1969738,39.2507302
privbh_5761,private,142.85714285714286,177742386828.17227,124419670.7797206,-6.1906829,39.2743057
privbh_5879,private,1142.857142857143,93775488327.69208,8205355.228673058,-6.2437107,39.2583088
privbh_5893,private,2000.0,78848515782.95538,3942425.789147769,-6.2034162,39.2839596
privbh_5940,private,2000.0,394541585294.6667,19727079.264733337,-6.1947636,39.2674581
privbh_6001,private,1000.0,120001090623.47363,12000109.062347364,-6.2311084,39.2479723
privbh_617,private,857.1428571428571,506506342827.3768,59092406.66319396,-6.1461508,39.2270984
privbh_6265,private,2000.0,175743174792.29947,8787158.739614975,-6.2189684,39.2921013
privbh_6590,private,5000.0,672510426834.952,13450208.536699042,-6.1832495,39.2358809
privbh_6724,private,857.1428571428571,420616671634.2198,49071945.023992315,-6.2112772,39.2332611
privbh_6936,private,3000.0,681187121471.5806,22706237.38238602,-6.2120709,39.2338267
privbh_6952,private,3000.0,194976279088.26215,6499209.302942072,-6.2117063,39.2377575
privbh_7175,private,1000.0,201458895145.4972,20145889.514549725,-6.2234081,39.2416565
privbh_7417,private,2000.0,563213591185.7809,28160679.55928905,-6.2069476,39.2303576
privbh_7626,private,2000.0,375622712696.99384,18781135.63484969,-5.9933107,39.2566365
privbh_7667,private,2000.0,188533931559.84717,9426696.57799236,-5.9727771,39.3109366
privbh_7715,private,2000.0,3216521585593.896,160826079.2796948,-5.9626448,39.3064832
privbh_8098,private,2000.0,193772454053.97464,9688622.702698732,-5.9714299,39.3071522
privbh_8144,private,2000.0,416075332161.1185,20803766.608055927,-6.2024941,39.2597491
privbh_8214,private,3000.0,413569220946.1222,13785640.698204074,-6.2009363,39.2625351
privbh_8337,private,2000.0,176102475100.7057,8805123.755035285,-6.2014951,39.26417
privbh_8396,private,2000.0,93145432505.24033,4657271.625262016,-6.2023073,39.2718664
privbh_8723,private,1000.0,162479914659.35532,16247991.465935532,-6.1940064,39.2219561
privbh_8974,private,3000.0,567225028832.1636,18907500.96107212,-6.2019703,39.2170374
privbh_9050,private,3000.0,308546681870.5708,10284889.395685691,-5.9882459,39.1950709
privbh_9710,private,2000.0,418361855987.3351,20918092.799366754,-6.2277409,39.2324863
privbh_9711,private,2000.0,485505562639.2055,24275278.131960277,-6.2276593,39.2326337
privbh_9732,private,1142.857142857143,317076835495.6705,27744223.105871163,-6.2088464,39.2140365
privbh_9923,private,2000.0,419049732874.9313,20952486.64374656,-6.2272789,39.2327728
privbh_9998,private,2000.0,119370857827.41647,5968542.891370824,-6.2338549,39.2355266
